title,web,cite,pdf,abstract
"Trends and trajectories for explainable, accountable and intelligible systems: An hci research agenda",https://dl.acm.org/doi/abs/10.1145/3173574.3174156,715,http://acm.mementodepot.org/pubs/proceedings/acmconferences_3173574/3173574/3173574.3174156/3173574.3174156.pdf,
Voice interfaces in everyday life,https://dl.acm.org/doi/abs/10.1145/3173574.3174214,602,https://cronfa.swan.ac.uk/Record/cronfa55707/Download/55707__18708__7f41fbede0bc497e97d4cb766854b0e5.pdf,
A data-driven analysis of workers' earnings on Amazon Mechanical Turk,https://dl.acm.org/doi/abs/10.1145/3173574.3174023,562,https://arxiv.org/pdf/1712.05796,
The dark (patterns) side of UX design,https://dl.acm.org/doi/abs/10.1145/3173574.3174108,551,https://dl.acm.org/doi/pdf/10.1145/3173574.3174108,
'It's Reducing a Human Being to a Percentage' Perceptions of Justice in Algorithmic Decisions,https://dl.acm.org/doi/abs/10.1145/3173574.3173951,438,https://arxiv.org/pdf/1801.10408,
Fairness and accountability design needs for algorithmic support in high-stakes public sector decision-making,https://dl.acm.org/doi/abs/10.1145/3173574.3174014,361,https://dl.acm.org/doi/pdf/10.1145/3173574.3174014,
""" Accessibility Came by Accident"" Use of Voice-Controlled Intelligent Personal Assistants by People with Disabilities",https://dl.acm.org/doi/abs/10.1145/3173574.3174033,357,http://acm.mementodepot.org/pubs/proceedings/acmconferences_3173574/3173574/3173574.3174033/3173574.3174033.pdf,
Communicating awareness and intent in autonomous vehicle-pedestrian interaction,https://dl.acm.org/doi/abs/10.1145/3173574.3174003,304,https://www.researchgate.net/profile/Karthik-Mahadevan/publication/324664147_Communicating_Awareness_and_Intent_in_Autonomous_Vehicle-Pedestrian_Interaction/links/5b9e829ca6fdccd3cb5d508f/Communicating-Awareness-and-Intent-in-Autonomous-Vehicle-Pedestrian-Interaction.pdf,
Exploration and explanation in computational notebooks,https://dl.acm.org/doi/abs/10.1145/3173574.3173606,295,https://dl.acm.org/doi/pdf/10.1145/3173574.3173606,
“A Stalker's Paradise” How Intimate Partner Abusers Exploit Technology,https://dl.acm.org/doi/abs/10.1145/3173574.3174241,291,https://dl.acm.org/doi/pdf/10.1145/3173574.3174241?utm_source=miragenews&utm_medium=miragenews&utm_campaign=news,
